#AssemblyAccession	AssemblyName	Taxid	SpeciesName	AssemblyStatus
GCF_000023685.1	ASM2368v1	436113	Mycoplasma mycoides	Complete Genome
GCF_000277795.1	ASM27779v1	1197325	Mycoplasma wenyonii	Complete Genome
GCF_002090295.1	ASM209029v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_002090215.1	ASM209021v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000013425.1	ASM1342v1	93061	Staphylococcus aureus	Complete Genome
GCF_000021265.1	ASM2126v1	565575	Ureaplasma urealyticum	Complete Genome
GCF_012934885.1	ASM1293488v1	2726117	Mycoplasma phocoeninasale	Complete Genome
GCF_002128265.1	ASM212826v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_001552035.1	ASM155203v1	1311	Streptococcus agalactiae	Complete Genome
GCF_011464375.1	ASM1146437v1	40480	Mycoplasma capricolum	Complete Genome
GCF_004771095.1	ASM477109v1	2096	Mycoplasmoides gallisepticum	Complete Genome
GCF_011464815.1	ASM1146481v1	40480	Mycoplasma capricolum	Complete Genome
GCF_000143865.1	ASM14386v1	865867	Mycoplasma mycoides	Complete Genome
GCF_001020205.1	ASM102020v1	1509	Clostridium sporogenes	Complete Genome
GCF_003953005.1	ASM395300v1	38504	Ureaplasma parvum	Complete Genome
GCF_009939845.1	ASM993984v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900489665.1	MMC-GTS-glpFKO	40477	Mycoplasma mycoides	Complete Genome
GCF_001705605.1	ASM170560v1	2100	Mesomycoplasma hyorhinis	Complete Genome
GCF_009946845.1	ASM994684v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_003663725.1	ASM366372v1	2098	Metamycoplasma hominis	Complete Genome
GCF_002095995.1	ASM209599v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000179035.2	ASM17903v2	768700	Mycoplasma suis	Complete Genome
GCF_900660555.1	50884_D01-3	45361	Mesomycoplasma conjunctivae	Complete Genome
GCF_007859615.1	ASM785961v1	519450	Mycoplasma anserisalpingitidis	Complete Genome
GCF_900489545.1	MMC-glpQ	40477	Mycoplasma mycoides	Complete Genome
GCF_900489685.1	MMC-GTS-glpF	40477	Mycoplasma mycoides	Complete Genome
GCF_002128165.1	ASM212816v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_021460055.1	ASM2146005v1	2130	Ureaplasma urealyticum	Complete Genome
GCF_910574535.1	mpn_CV2	272634	Mycoplasmoides pneumoniae	Complete Genome
GCF_002128065.1	ASM212806v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_017569245.1	ASM1756924v1	1313	Streptococcus pneumoniae	Complete Genome
GCF_000835085.1	ASM83508v1	1124992	Mycoplasma capricolum	Complete Genome
